instance_id,symbol,company_name,sector,subindustry,panel_role,rationale,source_report_date,source_value_usd,source_url
HB001_BWA,BWA,"BorgWarner, Inc.",Consumer Discretionary,Auto components,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4661099,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB002_DHI,DHI,"D.R. Horton, Inc.",Consumer Discretionary,Homebuilding,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,3780709,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB003_DLPH,DLPH,Delphi Automotive PLC,Consumer Discretionary,Auto components,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4655889,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB004_HAR,HAR,"Harman International Industries, Inc.",Consumer Discretionary,Consumer electronics,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5024201,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB005_NFLX,NFLX,"Netflix, Inc.",Consumer Discretionary,Internet entertainment,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5486163,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB006_NWSA,NWSA,"News Corp., Class A",Consumer Discretionary,Media,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,3863395,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB007_RCL,RCL,Royal Caribbean Cruises Ltd.,Consumer Discretionary,Cruise lines,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4682613,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB008_WYNN,WYNN,Wynn Resorts Ltd.,Consumer Discretionary,Casinos and resorts,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4925677,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB009_APC,APC,Anadarko Petroleum Corp.,Energy,Exploration and production,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,6215284,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB010_APA,APA,Apache Corp.,Energy,Exploration and production,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,6707679,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
