instance_id,symbol,source_symbol,cohort,sector,selection_basis,source_id,source_date,documented_rank,history_note
C001_V,V,V,DIVERSIFIED_CORE,Information Technology,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C002_MA,MA,MA,DIVERSIFIED_CORE,Information Technology,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C003_ADBE,ADBE,ADBE,DIVERSIFIED_CORE,Information Technology,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C004_INTC,INTC,INTC,DIVERSIFIED_CORE,Information Technology,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C005_CSCO,CSCO,CSCO,DIVERSIFIED_CORE,Information Technology,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C006_CRM,CRM,CRM,DIVERSIFIED_CORE,Information Technology,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C007_QCOM,QCOM,QCOM,DIVERSIFIED_CORE,Information Technology,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C008_BRK_B,BRK.B,BRK.B,DIVERSIFIED_CORE,Financials,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,Provider symbol uses dot notation
C009_WFC,WFC,WFC,DIVERSIFIED_CORE,Financials,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C010_C,C,C,DIVERSIFIED_CORE,Financials,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C011_GS,GS,GS,DIVERSIFIED_CORE,Financials,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C012_MS,MS,MS,DIVERSIFIED_CORE,Financials,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C013_BLK,BLK,BLK,DIVERSIFIED_CORE,Financials,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C014_SCHW,SCHW,SCHW,DIVERSIFIED_CORE,Financials,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C015_MRK,MRK,MRK,DIVERSIFIED_CORE,Health Care,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C016_ABBV,ABBV,ABBV,DIVERSIFIED_CORE,Health Care,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C017_ABT,ABT,ABT,DIVERSIFIED_CORE,Health Care,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C018_TMO,TMO,TMO,DIVERSIFIED_CORE,Health Care,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C019_LLY,LLY,LLY,DIVERSIFIED_CORE,Health Care,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C020_AMGN,AMGN,AMGN,DIVERSIFIED_CORE,Health Care,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C021_GILD,GILD,GILD,DIVERSIFIED_CORE,Health Care,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C022_CVX,CVX,CVX,DIVERSIFIED_CORE,Energy,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C023_COP,COP,COP,DIVERSIFIED_CORE,Energy,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C024_EOG,EOG,EOG,DIVERSIFIED_CORE,Energy,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C025_MPC,MPC,MPC,DIVERSIFIED_CORE,Energy,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C026_PSX,PSX,PSX,DIVERSIFIED_CORE,Energy,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C027_VLO,VLO,VLO,DIVERSIFIED_CORE,Energy,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C028_WMT,WMT,WMT,DIVERSIFIED_CORE,Consumer Staples,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C029_COST,COST,COST,DIVERSIFIED_CORE,Consumer Staples,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C030_PEP,PEP,PEP,DIVERSIFIED_CORE,Consumer Staples,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C031_PM,PM,PM,DIVERSIFIED_CORE,Consumer Staples,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C032_MO,MO,MO,DIVERSIFIED_CORE,Consumer Staples,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C033_MDLZ,MDLZ,MDLZ,DIVERSIFIED_CORE,Consumer Staples,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C034_CL,CL,CL,DIVERSIFIED_CORE,Consumer Staples,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C035_NKE,NKE,NKE,DIVERSIFIED_CORE,Consumer Discretionary,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C036_LOW,LOW,LOW,DIVERSIFIED_CORE,Consumer Discretionary,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C037_SBUX,SBUX,SBUX,DIVERSIFIED_CORE,Consumer Discretionary,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C038_BKNG,BKNG,BKNG,DIVERSIFIED_CORE,Consumer Discretionary,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C039_TJX,TJX,TJX,DIVERSIFIED_CORE,Consumer Discretionary,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C040_GM,GM,GM,DIVERSIFIED_CORE,Consumer Discretionary,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C041_ORLY,ORLY,ORLY,DIVERSIFIED_CORE,Consumer Discretionary,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C042_HON,HON,HON,DIVERSIFIED_CORE,Industrials,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C043_UPS,UPS,UPS,DIVERSIFIED_CORE,Industrials,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C044_RTX,RTX,RTX,DIVERSIFIED_CORE,Industrials,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,Raytheon Technologies name/ticker began in 2020
C045_MMM,MMM,MMM,DIVERSIFIED_CORE,Industrials,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C046_LMT,LMT,LMT,DIVERSIFIED_CORE,Industrials,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C047_DE,DE,DE,DIVERSIFIED_CORE,Industrials,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C048_GD,GD,GD,DIVERSIFIED_CORE,Industrials,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C049_SO,SO,SO,DIVERSIFIED_CORE,Utilities,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C050_AEP,AEP,AEP,DIVERSIFIED_CORE,Utilities,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C051_EXC,EXC,EXC,DIVERSIFIED_CORE,Utilities,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C052_XEL,XEL,XEL,DIVERSIFIED_CORE,Utilities,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C053_SRE,SRE,SRE,DIVERSIFIED_CORE,Utilities,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C054_ED,ED,ED,DIVERSIFIED_CORE,Utilities,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C055_LIN,LIN,LIN,DIVERSIFIED_CORE,Materials,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C056_ECL,ECL,ECL,DIVERSIFIED_CORE,Materials,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C057_NEM,NEM,NEM,DIVERSIFIED_CORE,Materials,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C058_FCX,FCX,FCX,DIVERSIFIED_CORE,Materials,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C059_DOW,DOW,DOW,DIVERSIFIED_CORE,Materials,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,Dow Inc began trading in 2019
