order,instance_id,category,benchmark,symbols
620,W01_WIDE_US,Combined wide US stock panel,SPY,"AAPL,ABBV,ABNB,ABT,ACN,ADI,ADM,ADP,AEE,AEP,AJG,ALB,ALL,AMAT,AMCR,AMD,AMGN,AMT,AMZN,ANET,AON,APA,APD,APH,APP,ATO,AVB,AVGO,AVY,AWK,AXP,AZO,BA,BAC,BALL,BDX,BG,BKNG,BKR,BLK,BMY,BNY,BRK.B,BSX,BX,BXP,C,CAH,CASY,CAT,CB,CBRE,CCI,CCL,CEG,CF,CHD,CHTR,CI,CL,CLX,CMCSA,CME,CMG,CMI,CMS,CNP,COF,COP,COR,COST,CPT,CRH,CRM,CRWD,CSCO,CSGP,CSX,CTAS,CTVA,CVNA,CVS,CVX,D,DASH,DD,DE,DELL,DG,DHI,DHR,DIS,DLR,DLTR,DOC,DOW,DTE,DUK,DVN,EA,EBAY,ECL,ED,EIX,EL,ELV,EMR,EOG,EQIX,EQR,EQT,ES,ESS,ETN,ETR,EVRG,EW,EXC,EXE,EXPE,EXR,F,FANG,FCX,FE,FOXA,FRT,GD,GE,GILD,GIS,GM,GOOGL,GRMN,GS,HAL,HCA,HD,HLT,HON,HOOD,HST,HSY,HUM,HWM,IBM,ICE,IDXX,IFF,INTC,INVH,IP,IQV,IRM,ISRG,ITW,JCI,JNJ,JPM,KDP,KHC,KIM,KKR,KLAC,KMB,KMI,KO,KR,LIN,LLY,LMT,LNT,LOW,LRCX,LYB,LYV,MA,MAA,MAR,MCD,MCK,MCO,MDLZ,MDT,META,MKC,MLM,MMM,MNST,MO,MOS,MPC,MRK,MRVL,MS,MSFT,MU,NEE,NEM,NFLX,NI,NKE,NOC,NOW,NRG,NSC,NUE,NVDA,NWSA,O,OKE,OMC,ORCL,ORLY,OXY,PANW,PCAR,PCG,PEG,PEP,PFE,PG,PGR,PH,PHM,PKG,PLD,PLTR,PM,PNC,PNW,PPG,PPL,PSA,PSX,PWR,QCOM,RCL,REG,REGN,ROST,RTX,SBAC,SBUX,SCHW,SHW,SJM,SLB,SNDK,SO,SPG,SPGI,SRE,STLD,STX,STZ,SW,SYK,SYY,T,TDG,TFC,TGT,TJX,TKO,TMO,TMUS,TPL,TPR,TRGP,TRV,TSLA,TSN,TT,TTD,TTWO,TXN,UBER,UDR,UNH,UNP,UPS,USB,V,VICI,VLO,VMC,VRT,VRTX,VST,VTR,VZ,WBD,WDC,WEC,WELL,WFC,WM,WMB,WMT,WSM,WY,XEL,XOM,YUM"
621,W02_TECHNOLOGY,Technology,XLK,"AAPL,NVDA,MSFT,AVGO,AMD,MU,CSCO,INTC,AMAT,LRCX,PLTR,PANW,TXN,KLAC,IBM,ORCL,CRWD,ADI,APH,ANET,QCOM,STX,SNDK,WDC,MRVL,CRM,NOW,DELL,APP,ACN"
622,W03_FINANCIALS,Financials,XLF,"JPM,BRK.B,V,MA,BAC,GS,WFC,MS,C,AXP,SCHW,BLK,COF,CB,SPGI,PGR,BNY,PNC,USB,BX,CME,ICE,TRV,AON,HOOD,MCO,KKR,ALL,AJG,TFC"
623,W04_ENERGY,Energy,XLE,"XOM,CVX,COP,PSX,MPC,VLO,SLB,EOG,KMI,WMB,BKR,TRGP,OKE,DVN,OXY,FANG,EQT,HAL,TPL,EXE,APA"
624,W05_HEALTH_CARE,Health care,XLV,"LLY,JNJ,ABBV,UNH,MRK,TMO,AMGN,ABT,GILD,PFE,CVS,BMY,ISRG,DHR,VRTX,SYK,MDT,MCK,ELV,CI,REGN,BSX,HCA,COR,CAH,EW,HUM,BDX,IDXX,IQV"
625,W06_CONSUMER_STAPLES,Consumer staples,XLP,"WMT,COST,PG,KO,PM,CL,MO,PEP,MNST,MDLZ,TGT,KDP,SYY,ADM,KMB,KR,CASY,DG,HSY,CHD,KHC,DLTR,EL,GIS,STZ,TSN,BG,SJM,MKC,CLX"
626,W07_INDUSTRIALS,Industrials,XLI,"CAT,GE,RTX,UNP,BA,DE,ETN,UBER,PH,LMT,HWM,ADP,TT,VRT,GD,MMM,CSX,CMI,WM,PWR,JCI,EMR,UPS,HON,ITW,NSC,NOC,TDG,CTAS,PCAR"
627,W08_CONSUMER_DISCRETIONARY,Consumer discretionary,XLY,"AMZN,TSLA,HD,MCD,TJX,BKNG,LOW,SBUX,MAR,GM,ROST,RCL,ORLY,DASH,HLT,ABNB,F,EBAY,NKE,AZO,CVNA,CMG,GRMN,YUM,DHI,CCL,EXPE,TPR,WSM,PHM"
628,W09_COMMUNICATION_SERVICES,Communication services,XLC,"META,GOOGL,T,VZ,TMUS,EA,OMC,DIS,TTWO,CMCSA,LYV,NFLX,WBD,TKO,CHTR,FOXA,NWSA,TTD"
629,W10_UTILITIES,Utilities,XLU,"NEE,SO,DUK,CEG,AEP,D,SRE,ETR,XEL,EXC,VST,ED,PEG,PCG,WEC,AEE,EIX,DTE,ATO,CNP,ES,PPL,AWK,NRG,FE,CMS,NI,EVRG,LNT,PNW"
630,W11_MATERIALS,Materials,XLB,"LIN,NEM,CTVA,FCX,SHW,ECL,NUE,APD,VMC,MLM,CRH,STLD,SW,PPG,IP,PKG,AMCR,DOW,IFF,DD,CF,BALL,LYB,ALB,AVY,MOS"
631,W12_REAL_ESTATE,Real estate,XLRE,"WELL,PLD,EQIX,AMT,SPG,DLR,VTR,PSA,O,CBRE,IRM,CCI,EXR,VICI,AVB,EQR,ESS,SBAC,WY,KIM,INVH,HST,MAA,DOC,REG,CSGP,CPT,UDR,BXP,FRT"
