instance_id,symbol,sector,asset_type,panel_role,source_registry
I01_AMD,AMD,Information Technology,stock,canonical_operator_case,operator recollection
I02_TSLA,TSLA,Consumer Discretionary,stock,canonical_operator_case,operator recollection
I03_MSFT,MSFT,Information Technology,stock,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv
I04_TXN,TXN,Information Technology,stock,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv
I05_JPM,JPM,Financials,stock,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv
I06_AXP,AXP,Financials,stock,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv
I07_JNJ,JNJ,Health Care,stock,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv
I08_UNH,UNH,Health Care,stock,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv
I09_XOM,XOM,Energy,stock,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv
I10_SLB,SLB,Energy,stock,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv
I11_PG,PG,Consumer Staples,stock,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv
I12_KO,KO,Consumer Staples,stock,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv
I13_HD,HD,Consumer Discretionary,stock,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv
I14_MCD,MCD,Consumer Discretionary,stock,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv
I15_CAT,CAT,Industrials,stock,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv
I16_UNP,UNP,Industrials,stock,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv
I17_NEE,NEE,Utilities,stock,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv
I18_DUK,DUK,Utilities,stock,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv
I19_APD,APD,Materials,stock,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv
I20_SHW,SHW,Materials,stock,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv
I21_AMT,AMT,Real Estate,stock,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv
I22_PLD,PLD,Real Estate,stock,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv
I23_GOOGL,GOOGL,Communication Services,stock,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv
I24_CMCSA,CMCSA,Communication Services,stock,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv
I25_SPY,SPY,Broad Market,etf,reference_etf,roadmap reference
I26_QQQ,QQQ,Large-Cap Growth,etf,reference_etf,roadmap reference
