instance_id,symbol,sector,role,source_registry,discovery_note
H01_MSFT,MSFT,Information Technology,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv,Reused previously frozen identity for discovery
H02_TXN,TXN,Information Technology,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv,Reused previously frozen identity for discovery
H03_JPM,JPM,Financials,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv,Reused previously frozen identity for discovery
H04_AXP,AXP,Financials,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv,Reused previously frozen identity for discovery
H05_JNJ,JNJ,Health Care,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv,Reused previously frozen identity for discovery
H06_UNH,UNH,Health Care,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv,Reused previously frozen identity for discovery
H07_XOM,XOM,Energy,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv,Reused previously frozen identity for discovery
H08_SLB,SLB,Energy,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv,Reused previously frozen identity for discovery
H09_PG,PG,Consumer Staples,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv,Reused previously frozen identity for discovery
H10_KO,KO,Consumer Staples,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv,Reused previously frozen identity for discovery
H11_HD,HD,Consumer Discretionary,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv,Reused previously frozen identity for discovery
H12_MCD,MCD,Consumer Discretionary,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv,Reused previously frozen identity for discovery
H13_CAT,CAT,Industrials,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv,Reused previously frozen identity for discovery
H14_UNP,UNP,Industrials,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv,Reused previously frozen identity for discovery
H15_NEE,NEE,Utilities,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv,Reused previously frozen identity for discovery
H16_DUK,DUK,Utilities,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv,Reused previously frozen identity for discovery
H17_APD,APD,Materials,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv,Reused previously frozen identity for discovery
H18_SHW,SHW,Materials,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv,Reused previously frozen identity for discovery
H19_AMT,AMT,Real Estate,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv,Reused previously frozen identity for discovery
H20_PLD,PLD,Real Estate,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv,Reused previously frozen identity for discovery
H21_GOOGL,GOOGL,Communication Services,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv,Reused previously frozen identity for discovery
H22_CMCSA,CMCSA,Communication Services,diverse_stock_panel,literature_studies/registries/gen5_lit_mom_01_1_stock_atlas_01_registry.csv,Reused previously frozen identity for discovery
