instance_id,symbol,sector,asset_type,panel_role,source_registry
R01_AMD,AMD,Information Technology,stock,canonical_operator_case,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R02_TSLA,TSLA,Consumer Discretionary,stock,canonical_operator_case,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R03_MSFT,MSFT,Information Technology,stock,diverse_stock_panel,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R04_TXN,TXN,Information Technology,stock,diverse_stock_panel,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R05_JPM,JPM,Financials,stock,diverse_stock_panel,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R06_AXP,AXP,Financials,stock,diverse_stock_panel,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R07_JNJ,JNJ,Health Care,stock,diverse_stock_panel,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R08_UNH,UNH,Health Care,stock,diverse_stock_panel,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R09_XOM,XOM,Energy,stock,diverse_stock_panel,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R10_SLB,SLB,Energy,stock,diverse_stock_panel,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R11_PG,PG,Consumer Staples,stock,diverse_stock_panel,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R12_KO,KO,Consumer Staples,stock,diverse_stock_panel,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R13_HD,HD,Consumer Discretionary,stock,diverse_stock_panel,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R14_MCD,MCD,Consumer Discretionary,stock,diverse_stock_panel,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R15_CAT,CAT,Industrials,stock,diverse_stock_panel,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R16_UNP,UNP,Industrials,stock,diverse_stock_panel,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R17_NEE,NEE,Utilities,stock,diverse_stock_panel,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R18_DUK,DUK,Utilities,stock,diverse_stock_panel,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R19_APD,APD,Materials,stock,diverse_stock_panel,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R20_SHW,SHW,Materials,stock,diverse_stock_panel,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R21_AMT,AMT,Real Estate,stock,diverse_stock_panel,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R22_PLD,PLD,Real Estate,stock,diverse_stock_panel,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R23_GOOGL,GOOGL,Communication Services,stock,diverse_stock_panel,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R24_CMCSA,CMCSA,Communication Services,stock,diverse_stock_panel,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R25_SPY,SPY,Broad Market,etf,reference_etf,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
R26_QQQ,QQQ,Large-Cap Growth,etf,reference_etf,operator_hypothesis_lab/registries/gen5_intraday_momentum_poc_registry.csv
