instance_id,symbol,role,sector,asset_type,panel_role,source_registry
B01_XLB,XLB,signal_estimator,Materials,ETF,sector_diffusion_proxy,frozen_contract
B02_XLE,XLE,signal_estimator,Energy,ETF,sector_diffusion_proxy,frozen_contract
B03_XLF,XLF,signal_estimator,Financials,ETF,sector_diffusion_proxy,frozen_contract
B04_XLI,XLI,signal_estimator,Industrials,ETF,sector_diffusion_proxy,frozen_contract
B05_XLK,XLK,signal_estimator,Information Technology,ETF,sector_diffusion_proxy,frozen_contract
B06_XLP,XLP,signal_estimator,Consumer Staples,ETF,sector_diffusion_proxy,frozen_contract
B07_XLRE,XLRE,signal_estimator,Real Estate,ETF,sector_diffusion_proxy,frozen_contract
B08_XLU,XLU,signal_estimator,Utilities,ETF,sector_diffusion_proxy,frozen_contract
B09_XLV,XLV,signal_estimator,Health Care,ETF,sector_diffusion_proxy,frozen_contract
B10_XLY,XLY,signal_estimator,Consumer Discretionary,ETF,sector_diffusion_proxy,frozen_contract
R01_AMD,AMD,target,Information Technology,stock,canonical_operator_case,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R02_TSLA,TSLA,target,Consumer Discretionary,stock,canonical_operator_case,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R03_MSFT,MSFT,target,Information Technology,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R04_TXN,TXN,target,Information Technology,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R05_JPM,JPM,target,Financials,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R06_AXP,AXP,target,Financials,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R07_JNJ,JNJ,target,Health Care,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R08_UNH,UNH,target,Health Care,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R09_XOM,XOM,target,Energy,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R10_SLB,SLB,target,Energy,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R11_PG,PG,target,Consumer Staples,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R12_KO,KO,target,Consumer Staples,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R13_HD,HD,target,Consumer Discretionary,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R14_MCD,MCD,target,Consumer Discretionary,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R15_CAT,CAT,target,Industrials,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R16_UNP,UNP,target,Industrials,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R17_NEE,NEE,target,Utilities,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R18_DUK,DUK,target,Utilities,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R19_APD,APD,target,Materials,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R20_SHW,SHW,target,Materials,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R21_AMT,AMT,target,Real Estate,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R22_PLD,PLD,target,Real Estate,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R23_GOOGL,GOOGL,target,Communication Services,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R24_CMCSA,CMCSA,target,Communication Services,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R25_SPY,SPY,target,Broad Market,ETF,broad_market_reference,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
R26_QQQ,QQQ,target,Technology Growth,ETF,growth_market_reference,operator_hypothesis_lab/registries/hyp_reg_02_1_trend_direction_registry.csv
