instance_id,symbol,sector,asset_type,panel_role,source_registry
PT01_AMD,AMD,Information Technology,stock,canonical_operator_case,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT02_TSLA,TSLA,Consumer Discretionary,stock,canonical_operator_case,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT03_MSFT,MSFT,Information Technology,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT04_TXN,TXN,Information Technology,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT05_JPM,JPM,Financials,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT06_AXP,AXP,Financials,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT07_JNJ,JNJ,Health Care,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT08_UNH,UNH,Health Care,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT09_XOM,XOM,Energy,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT10_SLB,SLB,Energy,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT11_PG,PG,Consumer Staples,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT12_KO,KO,Consumer Staples,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT13_HD,HD,Consumer Discretionary,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT14_MCD,MCD,Consumer Discretionary,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT15_CAT,CAT,Industrials,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT16_UNP,UNP,Industrials,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT17_NEE,NEE,Utilities,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT18_DUK,DUK,Utilities,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT19_APD,APD,Materials,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT20_SHW,SHW,Materials,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT21_AMT,AMT,Real Estate,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT22_PLD,PLD,Real Estate,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT23_GOOGL,GOOGL,Communication Services,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT24_CMCSA,CMCSA,Communication Services,stock,diverse_stock_panel,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT25_SPY,SPY,Broad Market,etf,reference_etf,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
PT26_QQQ,QQQ,Large-Cap Growth,etf,reference_etf,operator_hypothesis_lab/registries/hyp_reg_01_1_atr_percent_registry.csv
