instance_id,symbol,sector,asset_type,panel_role,strategy_role,source_registry
AR01_AMD,AMD,Information Technology,stock,canonical_operator_case,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR02_TSLA,TSLA,Consumer Discretionary,stock,canonical_operator_case,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR03_MSFT,MSFT,Information Technology,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR04_TXN,TXN,Information Technology,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR05_JPM,JPM,Financials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR06_AXP,AXP,Financials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR07_JNJ,JNJ,Health Care,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR08_UNH,UNH,Health Care,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR09_XOM,XOM,Energy,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR10_SLB,SLB,Energy,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR11_PG,PG,Consumer Staples,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR12_KO,KO,Consumer Staples,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR13_HD,HD,Consumer Discretionary,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR14_MCD,MCD,Consumer Discretionary,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR15_CAT,CAT,Industrials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR16_UNP,UNP,Industrials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR17_NEE,NEE,Utilities,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR18_DUK,DUK,Utilities,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR19_APD,APD,Materials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR20_SHW,SHW,Materials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR21_AMT,AMT,Real Estate,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR22_PLD,PLD,Real Estate,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR23_GOOGL,GOOGL,Communication Services,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR24_CMCSA,CMCSA,Communication Services,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR25_SPY,SPY,Broad Market,etf,reference_etf,reference_only,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
AR26_QQQ,QQQ,Large-Cap Growth,etf,reference_etf,reference_only,operator_hypothesis_lab/registries/hyp_reg_05_1_path_trendability_registry.csv
