instance_id,symbol,sector,asset_type,panel_role,strategy_role,source_registry
VR01_AMD,AMD,Information Technology,stock,canonical_operator_case,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR02_TSLA,TSLA,Consumer Discretionary,stock,canonical_operator_case,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR03_MSFT,MSFT,Information Technology,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR04_TXN,TXN,Information Technology,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR05_JPM,JPM,Financials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR06_AXP,AXP,Financials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR07_JNJ,JNJ,Health Care,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR08_UNH,UNH,Health Care,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR09_XOM,XOM,Energy,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR10_SLB,SLB,Energy,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR11_PG,PG,Consumer Staples,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR12_KO,KO,Consumer Staples,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR13_HD,HD,Consumer Discretionary,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR14_MCD,MCD,Consumer Discretionary,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR15_CAT,CAT,Industrials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR16_UNP,UNP,Industrials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR17_NEE,NEE,Utilities,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR18_DUK,DUK,Utilities,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR19_APD,APD,Materials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR20_SHW,SHW,Materials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR21_AMT,AMT,Real Estate,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR22_PLD,PLD,Real Estate,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR23_GOOGL,GOOGL,Communication Services,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR24_CMCSA,CMCSA,Communication Services,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR25_SPY,SPY,Broad Market,etf,reference_etf,reference_only,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
VR26_QQQ,QQQ,Large-Cap Growth,etf,reference_etf,reference_only,operator_hypothesis_lab/registries/hyp_reg_05_2_adx_overlay_registry.csv
