instance_id,symbol,sector,asset_type,panel_role,strategy_role,source_registry
RSF01_AMD,AMD,Information Technology,stock,canonical_operator_case,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF02_TSLA,TSLA,Consumer Discretionary,stock,canonical_operator_case,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF03_MSFT,MSFT,Information Technology,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF04_TXN,TXN,Information Technology,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF05_JPM,JPM,Financials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF06_AXP,AXP,Financials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF07_JNJ,JNJ,Health Care,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF08_UNH,UNH,Health Care,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF09_XOM,XOM,Energy,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF10_SLB,SLB,Energy,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF11_PG,PG,Consumer Staples,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF12_KO,KO,Consumer Staples,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF13_HD,HD,Consumer Discretionary,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF14_MCD,MCD,Consumer Discretionary,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF15_CAT,CAT,Industrials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF16_UNP,UNP,Industrials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF17_NEE,NEE,Utilities,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF18_DUK,DUK,Utilities,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF19_APD,APD,Materials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF20_SHW,SHW,Materials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF21_AMT,AMT,Real Estate,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF22_PLD,PLD,Real Estate,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF23_GOOGL,GOOGL,Communication Services,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF24_CMCSA,CMCSA,Communication Services,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF25_SPY,SPY,Broad Market,etf,reference_etf,reference_only,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
RSF26_QQQ,QQQ,Large-Cap Growth,etf,reference_etf,reference_only,operator_hypothesis_lab/registries/hyp_reg_08_1_variance_ratio_registry.csv
