instance_id,symbol,sector,asset_type,panel_role,strategy_role,source_registry
MHA01_AMD,AMD,Information Technology,stock,canonical_operator_case,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA02_TSLA,TSLA,Consumer Discretionary,stock,canonical_operator_case,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA03_MSFT,MSFT,Information Technology,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA04_TXN,TXN,Information Technology,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA05_JPM,JPM,Financials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA06_AXP,AXP,Financials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA07_JNJ,JNJ,Health Care,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA08_UNH,UNH,Health Care,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA09_XOM,XOM,Energy,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA10_SLB,SLB,Energy,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA11_PG,PG,Consumer Staples,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA12_KO,KO,Consumer Staples,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA13_HD,HD,Consumer Discretionary,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA14_MCD,MCD,Consumer Discretionary,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA15_CAT,CAT,Industrials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA16_UNP,UNP,Industrials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA17_NEE,NEE,Utilities,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA18_DUK,DUK,Utilities,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA19_APD,APD,Materials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA20_SHW,SHW,Materials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA21_AMT,AMT,Real Estate,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA22_PLD,PLD,Real Estate,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA23_GOOGL,GOOGL,Communication Services,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA24_CMCSA,CMCSA,Communication Services,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA25_SPY,SPY,Broad Market,etf,reference_etf,reference_only,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
MHA26_QQQ,QQQ,Large-Cap Growth,etf,reference_etf,reference_only,operator_hypothesis_lab/registries/hyp_reg_09_1_robust_slope_fit_registry.csv
