instance_id,symbol,sector,asset_type,panel_role,strategy_role,source_registry
CPO01_AMD,AMD,Information Technology,stock,canonical_operator_case,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO02_TSLA,TSLA,Consumer Discretionary,stock,canonical_operator_case,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO03_MSFT,MSFT,Information Technology,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO04_TXN,TXN,Information Technology,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO05_JPM,JPM,Financials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO06_AXP,AXP,Financials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO07_JNJ,JNJ,Health Care,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO08_UNH,UNH,Health Care,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO09_XOM,XOM,Energy,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO10_SLB,SLB,Energy,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO11_PG,PG,Consumer Staples,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO12_KO,KO,Consumer Staples,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO13_HD,HD,Consumer Discretionary,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO14_MCD,MCD,Consumer Discretionary,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO15_CAT,CAT,Industrials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO16_UNP,UNP,Industrials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO17_NEE,NEE,Utilities,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO18_DUK,DUK,Utilities,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO19_APD,APD,Materials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO20_SHW,SHW,Materials,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO21_AMT,AMT,Real Estate,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO22_PLD,PLD,Real Estate,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO23_GOOGL,GOOGL,Communication Services,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO24_CMCSA,CMCSA,Communication Services,stock,diverse_stock_panel,primary_stock,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO25_SPY,SPY,Broad Market,etf,reference_etf,reference_only,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
CPO26_QQQ,QQQ,Large-Cap Growth,etf,reference_etf,reference_only,operator_hypothesis_lab/registries/hyp_reg_10_1_multi_horizon_agreement_registry.csv
