atlas_order,symbol,behavior_group,instrument_type,selection_role,selection_rule
1,TSLA,Operator high beta,Stock,discovery_reference,operator_named_reference_or_high_beta_challenger_with_full_2018_2023_history
2,AMD,Operator high beta,Stock,operator_interest,operator_named_reference_or_high_beta_challenger_with_full_2018_2023_history
3,NVDA,Operator high beta,Stock,operator_interest,operator_named_reference_or_high_beta_challenger_with_full_2018_2023_history
4,GME,Operator high beta,Stock,meme_challenger,operator_named_reference_or_high_beta_challenger_with_full_2018_2023_history
5,AMC,Operator high beta,Stock,meme_challenger,operator_named_reference_or_high_beta_challenger_with_full_2018_2023_history
6,AAPL,Mature growth,Stock,balancing_member,large_established_growth_stock_with_full_2018_2023_history
7,MSFT,Mature growth,Stock,balancing_member,large_established_growth_stock_with_full_2018_2023_history
8,AMZN,Mature growth,Stock,balancing_member,large_established_growth_stock_with_full_2018_2023_history
9,GOOGL,Mature growth,Stock,balancing_member,large_established_growth_stock_with_full_2018_2023_history
10,CRM,Mature growth,Stock,balancing_member,large_established_growth_stock_with_full_2018_2023_history
11,JPM,Cyclical or value,Stock,balancing_member,established_cyclical_or_value_stock_with_full_2018_2023_history
12,CAT,Cyclical or value,Stock,balancing_member,established_cyclical_or_value_stock_with_full_2018_2023_history
13,XOM,Cyclical or value,Stock,balancing_member,established_cyclical_or_value_stock_with_full_2018_2023_history
14,BA,Cyclical or value,Stock,balancing_member,established_cyclical_or_value_stock_with_full_2018_2023_history
15,F,Cyclical or value,Stock,balancing_member,established_cyclical_or_value_stock_with_full_2018_2023_history
16,JNJ,Defensive equity,Stock,balancing_member,established_defensive_stock_with_full_2018_2023_history
17,PG,Defensive equity,Stock,balancing_member,established_defensive_stock_with_full_2018_2023_history
18,KO,Defensive equity,Stock,balancing_member,established_defensive_stock_with_full_2018_2023_history
19,WMT,Defensive equity,Stock,balancing_member,established_defensive_stock_with_full_2018_2023_history
20,PEP,Defensive equity,Stock,balancing_member,established_defensive_stock_with_full_2018_2023_history
21,SPY,Equity ETF,ETF,balancing_member,broad_or_sector_equity_etf_with_full_2018_2023_history
22,QQQ,Equity ETF,ETF,balancing_member,broad_or_sector_equity_etf_with_full_2018_2023_history
23,IWM,Equity ETF,ETF,balancing_member,broad_or_sector_equity_etf_with_full_2018_2023_history
24,DIA,Equity ETF,ETF,balancing_member,broad_or_sector_equity_etf_with_full_2018_2023_history
25,SMH,Equity ETF,ETF,balancing_member,broad_or_sector_equity_etf_with_full_2018_2023_history
26,TLT,Non-equity proxy,ETF,balancing_member,fixed_income_or_commodity_proxy_with_full_2018_2023_history
27,IEF,Non-equity proxy,ETF,balancing_member,fixed_income_or_commodity_proxy_with_full_2018_2023_history
28,GLD,Non-equity proxy,ETF,balancing_member,fixed_income_or_commodity_proxy_with_full_2018_2023_history
29,SLV,Non-equity proxy,ETF,balancing_member,fixed_income_or_commodity_proxy_with_full_2018_2023_history
30,USO,Non-equity proxy,ETF,balancing_member,fixed_income_or_commodity_proxy_with_full_2018_2023_history
