atlas_order,symbol,atlas_cohort,sector,instrument_type,sector_balance_eligible,selection_role,selection_basis
1,GOOGL,GICS_CORE,Communication Services,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
2,META,GICS_CORE,Communication Services,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
3,NFLX,GICS_CORE,Communication Services,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
4,DIS,GICS_CORE,Communication Services,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
5,CMCSA,GICS_CORE,Communication Services,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
6,T,GICS_CORE,Communication Services,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
7,VZ,GICS_CORE,Communication Services,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
8,TMUS,GICS_CORE,Communication Services,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
9,AMZN,GICS_CORE,Consumer Discretionary,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
10,TSLA,GICS_CORE,Consumer Discretionary,Stock,TRUE,operator_reference,frozen_eight_per_sector_long_history_liquid_stock
11,HD,GICS_CORE,Consumer Discretionary,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
12,MCD,GICS_CORE,Consumer Discretionary,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
13,NKE,GICS_CORE,Consumer Discretionary,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
14,SBUX,GICS_CORE,Consumer Discretionary,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
15,LOW,GICS_CORE,Consumer Discretionary,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
16,BKNG,GICS_CORE,Consumer Discretionary,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
17,PG,GICS_CORE,Consumer Staples,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
